"","형상  														 REPO1","파일명","유형","라인 수","파일 크기(Byte)","파일CheckSum","코딩 규칙CheckSum","취약점CheckSum","보안성CheckSum","동적CheckSum","상태"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\Debug\CRLF_test_vs2015.log","신규","4","243","94939bf4","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\Debug\CRLF_test_vs2015.tlog\CL.command.1.tlog","신규","3","664","c2e4aa20","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\Debug\CRLF_test_vs2015.tlog\CL.read.1.tlog","신규","13","1716","c5354056","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\Debug\CRLF_test_vs2015.tlog\CL.write.1.tlog","신규","5","668","ef1ea467","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\Debug\CRLF_test_vs2015.tlog\CRLF_test_vs2015.lastbuildstate","신규","3","213","c929b4e2","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\Debug\CRLF_test_vs2015.tlog\link.command.1.tlog","신규","3","1360","676c5426","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\Debug\CRLF_test_vs2015.tlog\link.read.1.tlog","신규","23","3082","56140986","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\Debug\CRLF_test_vs2015.tlog\link.write.1.tlog","신규","5","640","9d9dc09c","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\Debug\vc140.idb","신규","14","27648","75833f40","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\Debug\vc140.pdb","신규","182","61440","5e1b1ed9","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\x64\Debug\CRLF_test.obj","신규","30","8360","3e56a30e","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\x64\Debug\CRLF_test_vs2015.Build.CppClean.log","신규","8","666","82ad0d2e","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\x64\Debug\CRLF_test_vs2015.log","신규","5","420","75715f75","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\x64\Debug\CRLF_test_vs2015.tlog\CL.command.1.tlog","신규","3","650","e771eaf3","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\x64\Debug\CRLF_test_vs2015.tlog\CL.read.1.tlog","신규","20","2654","19756e36","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\x64\Debug\CRLF_test_vs2015.tlog\CL.write.1.tlog","신규","7","998","17ab33cb","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\x64\Debug\CRLF_test_vs2015.tlog\CRLF_test_vs2015.lastbuildstate","신규","3","211","182de1e0","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\x64\Debug\CRLF_test_vs2015.tlog\link.command.1.tlog","신규","3","1362","3d5416b4","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\x64\Debug\CRLF_test_vs2015.tlog\link.read.1.tlog","신규","31","4216","bdc48bdf","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\x64\Debug\CRLF_test_vs2015.tlog\link.write.1.tlog","신규","8","1128","4d01692c","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\x64\Debug\vc140.idb","신규","16","27648","f032521e","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\x64\Debug\vc140.pdb","신규","104","61440","3d55f642","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\Debug\CRLF_test_vs2015.exe","신규","51","37376","c03f1dd7","미수행","미수행","비대상","미수행","불일치"
